technology,source,characters,path
paragraph_based_chunking,official_documentation,3698,paragraph_based_chunking/official_documentation.txt
parent_child_chunking,github_repository,6876,parent_child_chunking/github_repository.txt
parent_child_chunking,official_documentation,36432,parent_child_chunking/official_documentation.txt
parent_document_retrieval,github_repository,3698,parent_document_retrieval/github_repository.txt
parent_document_retrieval,official_documentation,3698,parent_document_retrieval/official_documentation.txt
peft,github_repository,9200,peft/github_repository.txt
peft,official_documentation,1344,peft/official_documentation.txt
pinecone,api_reference,666,pinecone/api_reference.txt
pinecone,github_repository,606,pinecone/github_repository.txt
pinecone,official_documentation,713,pinecone/official_documentation.txt
pinecone,release_notes,16785,pinecone/release_notes.txt
pinecone,technical_blog,1248,pinecone/technical_blog.txt
prometheus,github_repository,6203,prometheus/github_repository.txt
prometheus,official_documentation,4298,prometheus/official_documentation.txt
promptfoo,github_repository,2146,promptfoo/github_repository.txt
promptfoo,official_documentation,2799,promptfoo/official_documentation.txt
qdrant,api_reference,591,qdrant/api_reference.txt
qdrant,benchmark_pages,4181,qdrant/benchmark_pages.txt
qdrant,community_resources,46,qdrant/community_resources.txt
qdrant,github_repository,7347,qdrant/github_repository.txt
qdrant,official_documentation,761,qdrant/official_documentation.txt
qdrant,release_notes,23359,qdrant/release_notes.txt
qdrant,technical_blog,7039,qdrant/technical_blog.txt
qlora,github_repository,8838,qlora/github_repository.txt
qlora,research_papers,3180,qlora/research_papers.txt
qwen,github_repository,19586,qwen/github_repository.txt
qwen,official_documentation,2974,qwen/official_documentation.txt
qwen,release_notes,401,qwen/release_notes.txt
qwen,research_papers,3073,qwen/research_papers.txt
ragas,github_repository,4382,ragas/github_repository.txt
ragas,official_documentation,1823,ragas/official_documentation.txt
ragas,research_papers,2593,ragas/research_papers.txt
railway,official_documentation,630,railway/official_documentation.txt
rankt5,github_repository,1694,rankt5/github_repository.txt
rankt5,research_papers,2355,rankt5/research_papers.txt
ray_serve,github_repository,2308,ray_serve/github_repository.txt
ray_serve,official_documentation,6454,ray_serve/official_documentation.txt
react,github_repository,1163,react/github_repository.txt
react,research_papers,3185,react/research_papers.txt
recursive_chunking,github_repository,3698,recursive_chunking/github_repository.txt
recursive_chunking,official_documentation,3698,recursive_chunking/official_documentation.txt
render,official_documentation,830,render/official_documentation.txt
